DisplayID;DisplayHole;DisplayDiagonal;Resolution;DisplayType;DisplayColorDepth;DisplayIllumination;DisplayRefreshRate
1117;;304 mm;2800x1840;Color IPS TFT LCD display;24 bit/pixel;LED;144 Hz
1118;1-hole;172.7 mm;1266x2844;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1119;1-hole;165 mm;1080x2340;Color AM-OLED display;30 bit/pixel;Self-illuminating;240 Hz
1120;;158.9 mm;968x2376;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1121;;155 mm;720x1560;Color IPS TFT LCD display;24 bit/pixel;LED;60 Hz
1122;1-hole;168 mm;1080x2412;Color IPS TFT LCD display;24 bit/pixel;LED;120 Hz
1123;1-hole;172.2 mm;1080x2460;Color IPS TFT LCD display;24 bit/pixel;LED;120 Hz
1124;1-hole;167 mm;1080x2400;Color AM-OLED display;24 bit/pixel;Self-illuminating;144 Hz
1125;1-hole;172.7 mm;1080x2436;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1126;1-hole;172.2 mm;1080x2460;Color IPS TFT LCD display;24 bit/pixel;LED;
1127;;167 mm;720x1600;Color IPS TFT LCD display;24 bit/pixel;LED;90 Hz
1128;1-hole;172.2 mm;1080x2460;Color IPS TFT LCD display;24 bit/pixel;LED;90 Hz
1129;;307 mm;2560x1600;Color IPS TFT LCD display;30 bit/pixel;Yes;120 Hz
1130;1-hole;175.26 mm;1188x2790;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1131;1-hole;154.7 mm;720x1560;Color IPS TFT LCD display;24 bit/pixel;LED;60 Hz
1132;1-hole;165.6 mm;720x1612;Color IPS TFT LCD display;24 bit/pixel;LED;120 Hz
1133;;155 mm;1080x2520;Color AM-OLED display;24 bit/pixel;Self-illuminating;60 Hz
1134;;149 mm;480x240;Monochrome STN LCD display;2 bit/pixel;ELP;
1135;;165 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1136;;143.5 mm;1080x2160;Color IPS TFT LCD display;24 bit/pixel;Yes;
1137;;152.14 mm;720x1440;Color IPS TFT LCD display;24 bit/pixel;LED;
1138;1-hole;167 mm;1080x2408;Color AM-OLED display;24 bit/pixel;Self-illuminating;
1139;1-hole;175.2 mm;1188x2790;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1140;1-hole;165 mm;1080x2340;Color IPS TFT LCD display;24 bit/pixel;Yes;
1141;1-hole;166.37 mm;1080x2400;Color AM-OLED display;30 bit/pixel;Self-illuminating;144 Hz
1142;;167 mm;720x1612;Color IPS TFT LCD display;24 bit/pixel;LED;90 Hz
1143;;330 mm;2752x2064;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1144;;282 mm;2420x1668;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1145;1-hole;166.9 mm;1080x2340;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1146;2-hole;170.7 mm;1236x2676;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1147;;167 mm;1080x2408;Color IPS TFT LCD display;24 bit/pixel;LED;90 Hz
1148;1-hole;167 mm;1260x2730;Color AM-OLED display;30 bit/pixel;Self-illuminating;
1149;1-hole;173.6 mm;1264x2780;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1150;1-hole;171.2 mm;1240x2772;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1151;1-hole;173 mm;1440x3200;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1152;;171.2 mm;720x1600;Color IPS TFT LCD display;24 bit/pixel;LED;90 Hz
1153;;172.46 mm;1080x2460;Color IPS TFT LCD display;24 bit/pixel;LED;90 Hz
1154;;171.45 mm;720x1600;Color IPS TFT LCD display;24 bit/pixel;LED;
1155;1-hole;170 mm;1080x2388;Color IPS TFT LCD display;24 bit/pixel;LED;90 Hz
1156;1-hole;279 mm;2560x1600;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1157;;279 mm;2560x1600;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1158;;155 mm;1080x2432;Color AM-OLED display;24 bit/pixel;Self-illuminating;90 Hz
1159;1-hole;264.16 mm;2000x1200;Color IPS TFT LCD display;24 bit/pixel;LED;
1160;;278.13 mm;2560x1600;Color IPS TFT LCD display;24 bit/pixel;LED;120 Hz
1161;;144.78 mm;720x1520;Color IPS TFT LCD display;24 bit/pixel;LED;
1162;;256 mm;1920x1200;Color IPS TFT LCD display;24 bit/pixel;Yes;
1163;1-hole;172.2 mm;1260x2800;Color AM-OLED display;30 bit/pixel;Self-illuminating;144 Hz
1164;1-hole;172.2 mm;1440x3200;Color AM-OLED display;30 bit/pixel;Self-illuminating;144 Hz
1165;1-hole;166.37 mm;1080x2340;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1166;1-hole;173.2 mm;1440x3168;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1167;1-hole;169.4 mm;720x1604;Color IPS TFT LCD display;24 bit/pixel;LED;90 Hz
1168;1-hole;167 mm;1080x2400;Color AM-OLED display;24 bit/pixel;Self-illuminating;
1169;1-hole;171.3 mm;1240x2772;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1170;1-hole;172.46 mm;1368x3192;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1171;;167 mm;1080x2408;Color IPS TFT LCD display;24 bit/pixel;LED;
1172;1-hole;172.2 mm;1080x2400;Color AM-OLED display;30 bit/pixel;Self-illuminating;165 Hz
1173;;269.24 mm;2000x1200;Color IPS TFT LCD display;24 bit/pixel;LED;
1174;1-hole;170.94 mm;1440x3200;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1175;1-hole;166.62 mm;1080x2520;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1176;;155 mm;1080x2432;Color AM-OLED display;30 bit/pixel;Self-illuminating;90 Hz
1177;1-hole;172.5 mm;1080x2460;Color IPS TFT LCD display;24 bit/pixel;LED;90 Hz
1178;1-hole;169.5 mm;1080x2400;Color AM-OLED display;24 bit/pixel;Self-illuminating;120 Hz
1179;1-hole;162 mm;1080x2504;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1180;3-hole;173.2 mm;1260x2720;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1181;1-hole;169.9 mm;1216x2688;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1182;1-hole;160.27 mm;1116x2484;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
1183;;155 mm;1080x2520;Color AM-OLED display;30 bit/pixel;Self-illuminating;120 Hz
